タイトル,プラットフォーム,配信開始日時,制作会社,URL
岩元先輩ノ推薦,アニメ放題,2026-07-07 23:00,スタジオディーン,https://iwamoto-anime.com/
岩元先輩ノ推薦,Prime Video,2026-07-07 23:00,スタジオディーン,https://iwamoto-anime.com/
岩元先輩ノ推薦,ABEMA,2026-07-07 23:00,スタジオディーン,https://iwamoto-anime.com/
岩元先輩ノ推薦,DMM TV,2026-07-07 23:00,スタジオディーン,https://iwamoto-anime.com/
片田舎のおっさん、剣聖になるⅡ,Prime Video,2026-06-22 00:00,パッショーネ,https://ossan-kensei.com/
さよならララ,dアニメストア,2026-07-05 00:30,キネマシトラス,https://goodbyelara.com/
さよならララ,ABEMA,2026-07-05 00:30,キネマシトラス,https://goodbyelara.com/
乙女怪獣キャラメリゼ,U-NEXT,2026-07-02 02:00,ライデンフィルム,https://otomekaiju.com/
乙女怪獣キャラメリゼ,アニメ放題,2026-07-02 02:00,ライデンフィルム,https://otomekaiju.com/
乙女怪獣キャラメリゼ,Prime Video,2026-07-02 02:00,ライデンフィルム,https://otomekaiju.com/
乙女怪獣キャラメリゼ,ABEMA,2026-07-05 02:00,ライデンフィルム,https://otomekaiju.com/
乙女怪獣キャラメリゼ,DMM TV,2026-07-05 02:00,ライデンフィルム,https://otomekaiju.com/
乙女怪獣キャラメリゼ,バンダイチャンネル,2026-07-05 02:00,ライデンフィルム,https://otomekaiju.com/
猫と竜,ABEMA,2026-06-27 21:30,OLM,https://nekoryuu-pr.com/
猫と竜,dアニメストア,2026-06-27 21:30,OLM,https://nekoryuu-pr.com/
猫と竜,DMM TV,2026-07-04 21:00,OLM,https://nekoryuu-pr.com/
猫と竜,Hulu,2026-07-04 21:00,OLM,https://nekoryuu-pr.com/
二十世紀電氣目録-ユーレカ・エヴリカ-,Netflix,2026-07-05 23:00,京都アニメーション,https://denkimokuroku.jp/
幼女戦記Ⅱ,ABEMA,2026-07-08 23:00,NUT,https://youjo-senki.jp/
幼女戦記Ⅱ,dアニメストア,2026-07-08 23:00,NUT,https://youjo-senki.jp/
幼女戦記Ⅱ,U-NEXT,2026-07-11 23:00,NUT,https://youjo-senki.jp/
幼女戦記Ⅱ,アニメ放題,2026-07-11 23:00,NUT,https://youjo-senki.jp/
骸骨騎士様、只今異世界へお出掛け中Ⅱ,dアニメストア,2026-04-07 00:00,オーラスタジオ,https://skeleton-knight.com/
骸骨騎士様、只今異世界へお出掛け中Ⅱ,Prime Video,2026-04-07 00:00,オーラスタジオ,https://skeleton-knight.com/
骸骨騎士様、只今異世界へお出掛け中Ⅱ,ABEMA,2026-04-07 00:00,オーラスタジオ,https://skeleton-knight.com/
骸骨騎士様、只今異世界へお出掛け中Ⅱ,Netflix,2026-04-07 00:00,オーラスタジオ,https://skeleton-knight.com/
骸骨騎士様、只今異世界へお出掛け中Ⅱ,Hulu,2026-04-14 23:30,オーラスタジオ,https://skeleton-knight.com/
骸骨騎士様、只今異世界へお出掛け中Ⅱ,バンダイチャンネル,2026-04-14 23:30,オーラスタジオ,https://skeleton-knight.com/
うちの弟どもがすみません,dアニメストア,2026-07-03 00:00,Lay-duce,https://uchioto-anime.com/
うちの弟どもがすみません,Prime Video,2026-07-03 00:00,Lay-duce,https://uchioto-anime.com/
うちの弟どもがすみません,dアニメストア for Prime Video,2026-07-03 00:00,Lay-duce,https://uchioto-anime.com/
うちの弟どもがすみません,ABEMA,2026-07-03 12:00,Lay-duce,https://uchioto-anime.com/
うちの弟どもがすみません,Lemino,2026-07-07 00:00,Lay-duce,https://uchioto-anime.com/
うちの弟どもがすみません,Netflix,2026-07-07 00:00,Lay-duce,https://uchioto-anime.com/
うちの弟どもがすみません,DMM TV,2026-07-07 00:00,Lay-duce,https://uchioto-anime.com/
うちの弟どもがすみません,アニメタイムズ,2026-07-07 00:00,Lay-duce,https://uchioto-anime.com/
うちの弟どもがすみません,FOD,2026-07-07 12:00,Lay-duce,https://uchioto-anime.com/
うちの弟どもがすみません,U-NEXT,2026-07-07 12:00,Lay-duce,https://uchioto-anime.com/
うちの弟どもがすみません,アニメ放題,2026-07-07 12:00,Lay-duce,https://uchioto-anime.com/
うちの弟どもがすみません,バンダイチャンネル,2026-07-07 12:00,Lay-duce,https://uchioto-anime.com/
うちの弟どもがすみません,Hulu,2026-07-07 12:00,Lay-duce,https://uchioto-anime.com/
グロウアップショウ ～ひまわりのサーカス団～,ABEMA,2026-07-04 00:30,A-1 Pictures,https://growupshow.com/
グロウアップショウ ～ひまわりのサーカス団～,dアニメストア,2026-07-04 12:00,A-1 Pictures,https://growupshow.com/
グロウアップショウ ～ひまわりのサーカス団～,Prime Video,2026-07-07 12:00,A-1 Pictures,https://growupshow.com/
グロウアップショウ ～ひまわりのサーカス団～,U-NEXT,2026-07-07 12:00,A-1 Pictures,https://growupshow.com/
グロウアップショウ ～ひまわりのサーカス団～,アニメ放題,2026-07-07 12:00,A-1 Pictures,https://growupshow.com/
グロウアップショウ ～ひまわりのサーカス団～,DMM TV,2026-07-07 12:00,A-1 Pictures,https://growupshow.com/
グロウアップショウ ～ひまわりのサーカス団～,バンダイチャンネル,2026-07-07 12:00,A-1 Pictures,https://growupshow.com/
グロウアップショウ ～ひまわりのサーカス団～,FOD,2026-07-07 23:00,A-1 Pictures,https://growupshow.com/
グロウアップショウ ～ひまわりのサーカス団～,Lemino,2026-07-07 23:00,A-1 Pictures,https://growupshow.com/
グロウアップショウ ～ひまわりのサーカス団～,AnimeFesta,2026-07-07 23:00,A-1 Pictures,https://growupshow.com/
グロウアップショウ ～ひまわりのサーカス団～,アニメタイムズ,2026-07-07 23:00,A-1 Pictures,https://growupshow.com/
最強出涸らし皇子の暗躍帝位争い,ABEMA,2026-07-06 00:00,MAHO FILM,https://degarashiouji.com/
最強出涸らし皇子の暗躍帝位争い,dアニメストア,2026-07-06 00:00,MAHO FILM,https://degarashiouji.com/
最強出涸らし皇子の暗躍帝位争い,U-NEXT,2026-07-06 00:00,MAHO FILM,https://degarashiouji.com/
最強出涸らし皇子の暗躍帝位争い,アニメ放題,2026-07-06 00:00,MAHO FILM,https://degarashiouji.com/
最強出涸らし皇子の暗躍帝位争い,Prime Video,2026-07-11 00:00,MAHO FILM,https://degarashiouji.com/
最強出涸らし皇子の暗躍帝位争い,DMM TV,2026-07-11 00:00,MAHO FILM,https://degarashiouji.com/
最強出涸らし皇子の暗躍帝位争い,Lemino,2026-07-11 00:00,MAHO FILM,https://degarashiouji.com/
最強出涸らし皇子の暗躍帝位争い,FOD,2026-07-11 00:00,MAHO FILM,https://degarashiouji.com/
最強出涸らし皇子の暗躍帝位争い,バンダイチャンネル,2026-07-11 00:00,MAHO FILM,https://degarashiouji.com/
ヘルモード ～やり込み好きのゲーマーは廃設定の異世界で無双する～ 2nd Season,ABEMA,2026-07-03 00:00,横浜アニメーションラボ,https://hellmode-anime.com/
ヘルモード ～やり込み好きのゲーマーは廃設定の異世界で無双する～ 2nd Season,dアニメストア,2026-07-03 00:00,横浜アニメーションラボ,https://hellmode-anime.com/
ヘルモード ～やり込み好きのゲーマーは廃設定の異世界で無双する～ 2nd Season,U-NEXT,2026-07-03 01:30,横浜アニメーションラボ,https://hellmode-anime.com/
ヘルモード ～やり込み好きのゲーマーは廃設定の異世界で無双する～ 2nd Season,アニメ放題,2026-07-03 01:30,横浜アニメーションラボ,https://hellmode-anime.com/
花ざかりの君たちへ 第2期,Prime Video,2026-01-04 22:00,シグナル・エムディ,https://hanakimi-anime.com/
花ざかりの君たちへ 第2期,U-NEXT,2026-01-04 22:00,シグナル・エムディ,https://hanakimi-anime.com/
花ざかりの君たちへ 第2期,アニメ放題,2026-01-04 22:00,シグナル・エムディ,https://hanakimi-anime.com/
花ざかりの君たちへ 第2期,dアニメストア,2026-01-04 22:00,シグナル・エムディ,https://hanakimi-anime.com/
花ざかりの君たちへ 第2期,FOD,2026-06-28 00:00,シグナル・エムディ,https://hanakimi-anime.com/
花ざかりの君たちへ 第2期,Lemino,2026-06-28 00:00,シグナル・エムディ,https://hanakimi-anime.com/
花ざかりの君たちへ 第2期,AnimeFesta,2026-06-28 00:00,シグナル・エムディ,https://hanakimi-anime.com/
花ざかりの君たちへ 第2期,バンダイチャンネル,2026-06-28 00:00,シグナル・エムディ,https://hanakimi-anime.com/
花ざかりの君たちへ 第2期,Netflix,2026-06-28 00:00,シグナル・エムディ,https://hanakimi-anime.com/
花ざかりの君たちへ 第2期,ABEMA,2026-06-28 20:30,シグナル・エムディ,https://hanakimi-anime.com/
攻殻機動隊 THE GHOST IN THE SHELL,Prime Video,2026-07-07 00:00,サイエンスSARU,https://www.theghostintheshell-anime.jp/
攻殻機動隊 THE GHOST IN THE SHELL,アニメ放題,2026-07-07 23:30,サイエンスSARU,https://www.theghostintheshell-anime.jp/
攻殻機動隊 THE GHOST IN THE SHELL,ABEMA,2026-07-08 23:30,サイエンスSARU,https://www.theghostintheshell-anime.jp/
攻殻機動隊 THE GHOST IN THE SHELL,FOD,2026-07-08 23:30,サイエンスSARU,https://www.theghostintheshell-anime.jp/
攻殻機動隊 THE GHOST IN THE SHELL,U-NEXT,2026-07-08 23:30,サイエンスSARU,https://www.theghostintheshell-anime.jp/
クレバテスⅡ-魔獣の王と偽りの勇者伝承-,dアニメストア,2026-07-08 22:00,Lay-duce,https://clevatess.com/
クレバテスⅡ-魔獣の王と偽りの勇者伝承-,U-NEXT,2026-07-08 22:00,Lay-duce,https://clevatess.com/
クレバテスⅡ-魔獣の王と偽りの勇者伝承-,アニメ放題,2026-07-08 22:00,Lay-duce,https://clevatess.com/
株式会社マジルミエ 第2期,dアニメストア,2026-06-28 02:25,J.C.STAFF,https://magilumiere-pr.com/
株式会社マジルミエ 第2期,Prime Video,2026-06-28 23:30,J.C.STAFF,https://magilumiere-pr.com/
株式会社マジルミエ 第2期,U-NEXT,2026-07-07 00:00,J.C.STAFF,https://magilumiere-pr.com/
株式会社マジルミエ 第2期,ABEMA,2026-07-07 02:25,J.C.STAFF,https://magilumiere-pr.com/
株式会社マジルミエ 第2期,DMM TV,2026-07-07 02:25,J.C.STAFF,https://magilumiere-pr.com/
株式会社マジルミエ 第2期,アニメタイムズ,2026-07-07 02:25,J.C.STAFF,https://magilumiere-pr.com/
株式会社マジルミエ 第2期,アニメ放題,2026-07-07 02:25,J.C.STAFF,https://magilumiere-pr.com/
株式会社マジルミエ 第2期,バンダイチャンネル,2026-07-11 00:00,J.C.STAFF,https://magilumiere-pr.com/
天幕のジャードゥーガル,ABEMA,2026-07-12 10:00,サイエンスSARU,https://anime-jaadugar.com/
天幕のジャードゥーガル,DMM TV,2026-08-01 09:00,サイエンスSARU,https://anime-jaadugar.com/
天幕のジャードゥーガル,dアニメストア,2026-08-01 09:00,サイエンスSARU,https://anime-jaadugar.com/
THE RIBBON HERO リボンヒーロー,Netflix,2026-08-08 00:00,OUTLINE,https://www.theribbonhero.com/
追放された転生重騎士はゲーム知識で無双する,U-NEXT,2026-07-02 00:56,GoHands,https://sh-anime.shochiku.co.jp/jukishi-anime/
追放された転生重騎士はゲーム知識で無双する,ABEMA,2026-07-02 00:56,GoHands,https://sh-anime.shochiku.co.jp/jukishi-anime/
追放された転生重騎士はゲーム知識で無双する,アニメ放題,2026-07-02 00:56,GoHands,https://sh-anime.shochiku.co.jp/jukishi-anime/
追放された転生重騎士はゲーム知識で無双する,アニメタイムズ,2026-07-02 02:00,GoHands,https://sh-anime.shochiku.co.jp/jukishi-anime/
追放された転生重騎士はゲーム知識で無双する,dアニメストア,2026-07-05 00:56,GoHands,https://sh-anime.shochiku.co.jp/jukishi-anime/
追放された転生重騎士はゲーム知識で無双する,Prime Video,2026-07-05 00:56,GoHands,https://sh-anime.shochiku.co.jp/jukishi-anime/
追放された転生重騎士はゲーム知識で無双する,dアニメストア for Prime Video,2026-07-05 00:56,GoHands,https://sh-anime.shochiku.co.jp/jukishi-anime/
追放された転生重騎士はゲーム知識で無双する,DMM TV,2026-07-05 00:56,GoHands,https://sh-anime.shochiku.co.jp/jukishi-anime/
追放された転生重騎士はゲーム知識で無双する,FOD,2026-07-05 00:56,GoHands,https://sh-anime.shochiku.co.jp/jukishi-anime/
追放された転生重騎士はゲーム知識で無双する,バンダイチャンネル,2026-07-05 00:56,GoHands,https://sh-anime.shochiku.co.jp/jukishi-anime/
ワールド イズ ダンシング,Prime Video,2026-06-29 22:00,サイピク,https://sh-anime.shochiku.co.jp/worldisdancing-anime/
ワールド イズ ダンシング,ABEMA,2026-06-29 22:00,サイピク,https://sh-anime.shochiku.co.jp/worldisdancing-anime/
メビウス・ダスト,アニメ放題,2026-07-09 02:53,動画工房,https://mebiusdust.asmik-ace.co.jp/
メビウス・ダスト,ABEMA,2026-07-10 02:53,動画工房,https://mebiusdust.asmik-ace.co.jp/
メビウス・ダスト,FOD,2026-07-10 02:53,動画工房,https://mebiusdust.asmik-ace.co.jp/
ふつつかな悪女ではございますが ～雛宮蝶鼠とりかえ伝～,ABEMA,2026-07-13 00:15,動画工房,https://futsutsuka.net/
ふつつかな悪女ではございますが ～雛宮蝶鼠とりかえ伝～,Prime Video,2026-07-13 00:15,動画工房,https://futsutsuka.net/
透明な夜に駆ける君と、目に見えない恋をした。,U-NEXT,2026-07-06 00:00,マカリア,https://sh-anime.shochiku.co.jp/kakekoi/
透明な夜に駆ける君と、目に見えない恋をした。,アニメ放題,2026-07-06 00:00,マカリア,https://sh-anime.shochiku.co.jp/kakekoi/
逃げ上手の若君 第二期,Prime Video,2026-04-17 23:30,CloverWorks,https://nigewaka.run/
逃げ上手の若君 第二期,dアニメストア,2026-04-17 23:30,CloverWorks,https://nigewaka.run/
ぐらんぶる Season 3,アニメタイムズ,2026-07-08 01:00,ゼロジー,https://grandblue-anime.com/
ぐらんぶる Season 3,Lemino,2026-07-08 01:00,ゼロジー,https://grandblue-anime.com/
ぐらんぶる Season 3,U-NEXT,2026-07-08 01:00,ゼロジー,https://grandblue-anime.com/
ぐらんぶる Season 3,アニメ放題,2026-07-08 01:00,ゼロジー,https://grandblue-anime.com/
ぐらんぶる Season 3,ABEMA,2026-07-13 01:00,ゼロジー,https://grandblue-anime.com/
ぐらんぶる Season 3,dアニメストア,2026-07-13 01:00,ゼロジー,https://grandblue-anime.com/
ぐらんぶる Season 3,Prime Video,2026-07-13 01:00,ゼロジー,https://grandblue-anime.com/
ぐらんぶる Season 3,dアニメストア for Prime Video,2026-07-13 01:00,ゼロジー,https://grandblue-anime.com/
ぐらんぶる Season 3,Netflix,2026-07-13 01:00,ゼロジー,https://grandblue-anime.com/
転校先の清楚可憐な美少女が、昔男子と思って一緒に遊んだ幼馴染だった件,dアニメストア,2026-07-06 00:00,project No.9,https://tenbin-anime.asmik-ace.co.jp/
転校先の清楚可憐な美少女が、昔男子と思って一緒に遊んだ幼馴染だった件,ABEMA,2026-07-06 00:00,project No.9,https://tenbin-anime.asmik-ace.co.jp/
転校先の清楚可憐な美少女が、昔男子と思って一緒に遊んだ幼馴染だった件,U-NEXT,2026-07-06 00:00,project No.9,https://tenbin-anime.asmik-ace.co.jp/
転校先の清楚可憐な美少女が、昔男子と思って一緒に遊んだ幼馴染だった件,アニメ放題,2026-07-06 00:00,project No.9,https://tenbin-anime.asmik-ace.co.jp/
転校先の清楚可憐な美少女が、昔男子と思って一緒に遊んだ幼馴染だった件,Prime Video,2026-07-10 00:00,project No.9,https://tenbin-anime.asmik-ace.co.jp/
転校先の清楚可憐な美少女が、昔男子と思って一緒に遊んだ幼馴染だった件,DMM TV,2026-07-10 00:00,project No.9,https://tenbin-anime.asmik-ace.co.jp/
転校先の清楚可憐な美少女が、昔男子と思って一緒に遊んだ幼馴染だった件,Hulu,2026-07-10 00:00,project No.9,https://tenbin-anime.asmik-ace.co.jp/
転校先の清楚可憐な美少女が、昔男子と思って一緒に遊んだ幼馴染だった件,Lemino,2026-07-10 00:00,project No.9,https://tenbin-anime.asmik-ace.co.jp/
転校先の清楚可憐な美少女が、昔男子と思って一緒に遊んだ幼馴染だった件,FOD,2026-07-10 00:00,project No.9,https://tenbin-anime.asmik-ace.co.jp/
BLEACH 千年血戦篇-禍進譚-,Lemino,2026-07-26 12:00,PIERROT FILMS,https://bleach-anime.com/
BLEACH 千年血戦篇-禍進譚-,アニメタイムズ,2026-07-26 12:00,PIERROT FILMS,https://bleach-anime.com/
BLEACH 千年血戦篇-禍進譚-,アニメ放題,2026-07-26 12:00,PIERROT FILMS,https://bleach-anime.com/
BLEACH 千年血戦篇-禍進譚-,Prime Video,2026-07-30 00:00,PIERROT FILMS,https://bleach-anime.com/
BLEACH 千年血戦篇-禍進譚-,ABEMA,2026-07-30 00:30,PIERROT FILMS,https://bleach-anime.com/
「きみを愛する気はない」と言った次期公爵様がなぜか溺愛してきます,アニメタイムズ,2026-07-06 11:24,ゼロジー,https://kimiai-anime.com/
「きみを愛する気はない」と言った次期公爵様がなぜか溺愛してきます,U-NEXT,2026-07-06 11:24,ゼロジー,https://kimiai-anime.com/
対ありでした。 ～お嬢さまは格闘ゲームなんてしない～,dアニメストア,2026-07-07 00:00,ディオメディア,https://taiari-anime.com/
対ありでした。 ～お嬢さまは格闘ゲームなんてしない～,U-NEXT,2026-07-07 00:00,ディオメディア,https://taiari-anime.com/
対ありでした。 ～お嬢さまは格闘ゲームなんてしない～,アニメ放題,2026-07-07 00:00,ディオメディア,https://taiari-anime.com/
対ありでした。 ～お嬢さまは格闘ゲームなんてしない～,ABEMA,2026-07-12 21:30,ディオメディア,https://taiari-anime.com/
鉄鍋のジャン！,アニメタイムズ,2026-07-05 00:00,TROYCA,https://tetsujan.com/
鉄鍋のジャン！,ABEMA,2026-07-05 06:00,TROYCA,https://tetsujan.com/
鉄鍋のジャン！,U-NEXT,2026-07-05 06:00,TROYCA,https://tetsujan.com/
鉄鍋のジャン！,アニメ放題,2026-07-05 06:00,TROYCA,https://tetsujan.com/
鉄鍋のジャン！,Hulu,2026-07-12 06:00,TROYCA,https://tetsujan.com/
鉄鍋のジャン！,Lemino,2026-07-12 06:00,TROYCA,https://tetsujan.com/
鉄鍋のジャン！,DMM TV,2026-07-12 06:00,TROYCA,https://tetsujan.com/
鉄鍋のジャン！,dアニメストア,2026-07-12 06:00,TROYCA,https://tetsujan.com/
Re:ゼロから始める異世界生活 4th season 奪還編,ABEMA,2026-04-08 02:58,WHITE FOX,https://re-zero-anime.jp/tv/
Re:ゼロから始める異世界生活 4th season 奪還編,dアニメストア,2026-04-08 02:58,WHITE FOX,https://re-zero-anime.jp/tv/
Re:ゼロから始める異世界生活 4th season 奪還編,U-NEXT,2026-06-28 22:30,WHITE FOX,https://re-zero-anime.jp/tv/
ブチ切れ令嬢は報復を誓いました。～魔導書の力で祖国を叩き潰します～,ABEMA,2026-07-06 00:00,スタジオコメット,https://buchigire-anime.com/
ブチ切れ令嬢は報復を誓いました。～魔導書の力で祖国を叩き潰します～,dアニメストア,2026-07-06 00:00,スタジオコメット,https://buchigire-anime.com/
ブチ切れ令嬢は報復を誓いました。～魔導書の力で祖国を叩き潰します～,Prime Video,2026-07-06 02:30,スタジオコメット,https://buchigire-anime.com/
ブチ切れ令嬢は報復を誓いました。～魔導書の力で祖国を叩き潰します～,DMM TV,2026-07-13 02:30,スタジオコメット,https://buchigire-anime.com/
落第賢者の学院無双 ～二度目の転生、Sランクチート魔術師冒険録～,dアニメストア,2026-06-25 00:00,EMTスクエアード,https://rakudai-anime.com/
落第賢者の学院無双 ～二度目の転生、Sランクチート魔術師冒険録～,Prime Video,2026-07-01 00:00,EMTスクエアード,https://rakudai-anime.com/
落第賢者の学院無双 ～二度目の転生、Sランクチート魔術師冒険録～,ABEMA,2026-07-01 00:00,EMTスクエアード,https://rakudai-anime.com/
落第賢者の学院無双 ～二度目の転生、Sランクチート魔術師冒険録～,U-NEXT,2026-07-01 00:00,EMTスクエアード,https://rakudai-anime.com/
落第賢者の学院無双 ～二度目の転生、Sランクチート魔術師冒険録～,アニメ放題,2026-07-01 00:00,EMTスクエアード,https://rakudai-anime.com/
落第賢者の学院無双 ～二度目の転生、Sランクチート魔術師冒険録～,FOD,2026-07-01 00:00,EMTスクエアード,https://rakudai-anime.com/
落第賢者の学院無双 ～二度目の転生、Sランクチート魔術師冒険録～,アニメタイムズ,2026-07-01 00:00,EMTスクエアード,https://rakudai-anime.com/
落第賢者の学院無双 ～二度目の転生、Sランクチート魔術師冒険録～,Hulu,2026-07-01 00:00,EMTスクエアード,https://rakudai-anime.com/
落第賢者の学院無双 ～二度目の転生、Sランクチート魔術師冒険録～,Lemino,2026-07-01 00:00,EMTスクエアード,https://rakudai-anime.com/
落第賢者の学院無双 ～二度目の転生、Sランクチート魔術師冒険録～,バンダイチャンネル,2026-07-01 00:00,EMTスクエアード,https://rakudai-anime.com/
落第賢者の学院無双 ～二度目の転生、Sランクチート魔術師冒険録～,DMM TV,2026-10-06 00:00,EMTスクエアード,https://rakudai-anime.com/
花織さんは転生しても喧嘩がしたい,ABEMA,2026-07-11 02:30,ライデンフィルム,https://hanaorisan-anime.com/
花織さんは転生しても喧嘩がしたい,dアニメストア,2026-07-11 02:30,ライデンフィルム,https://hanaorisan-anime.com/
